business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bihar Maternity & Stone Hospital,Nursing Home and Maternity Hospital,Doctor,Doctor,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 79036 89315,N/A,4.4,,"Naya pul, Badi Dargah, Islam Nagar, Nawada, Bihar 805112","Badi Dargah, Islam Nagar",24.8819567,85.5406776,ChIJ6xdORo7_8jkR2d7lFNJqgYg,https://www.google.com/maps/place/?q=place_id:ChIJ6xdORo7_8jkR2d7lFNJqgYg,part_379,2026-09-20 20:19:14,1721
Mother Care Nursing Home | Dr. Feeza Khan,Nursing Home and Maternity Hospital,Nursing home,Nursing home,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 96085 64151,N/A,4.5,,"Kalali Rd, near naya pul, Nawada, Bihar 805110",805101,24.8831767,85.5411816,ChIJWyFbKCr_8jkRVkoJVaCegQI,https://www.google.com/maps/place/?q=place_id:ChIJWyFbKCr_8jkRVkoJVaCegQI,part_379,2026-09-20 20:19:14,1722
ANGEL METERNITY HOSPITAL,Nursing Home and Maternity Hospital,Hospital,"Hospital, Gynecologist",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 62003 00840,N/A,4.9,7.0,"Purani Jail Rd, near Harishchandr stadium, Nawada, Bihar 805110",805101,24.889452199999997,85.5447378,ChIJ7Uc_MRX_8jkRLB-0up4r--0,https://www.google.com/maps/place/?q=place_id:ChIJ7Uc_MRX_8jkRLB-0up4r--0,part_379,2026-09-20 20:19:14,1723
Kamla Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 6324 358 082,N/A,4.4,,"Nawada, Bihar 805110",805101,24.8889519,85.5469711,ChIJQTOYveb_8jkRzX7QNmBKd9c,https://www.google.com/maps/place/?q=place_id:ChIJQTOYveb_8jkRzX7QNmBKd9c,part_379,2026-09-20 20:19:14,1724
Vivek Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,3.0,,"VGRW+WQQ, Unnamed Road, Nawada, Bihar 805110",805101,24.8923433,85.5469777,ChIJESp1R_H-8jkRav4VwfnIrFs,https://www.google.com/maps/place/?q=place_id:ChIJESp1R_H-8jkRav4VwfnIrFs,part_379,2026-09-20 20:19:14,1725
Maa Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 94310 42742,N/A,4.3,10.0,"H4PP+R3G, mithapur bus stand opp gate no 1, Bihari Path, New Bigrahpur, Mithapur, Patna, Bihar 800001","New Bigrahpur, Mithapur",25.5869781,85.1345584,ChIJTZ5423ZY7TkRM0B9t9sj_3I,https://www.google.com/maps/place/?q=place_id:ChIJTZ5423ZY7TkRM0B9t9sj_3I,part_379,2026-09-20 20:19:16,1726
Lakshmi Nursing Home,Nursing Home and Maternity Hospital,Hospital,"Hospital, Nursing agency",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 92644 49541,N/A,3.4,312.0,"Laxmi Nursing Home, Hinoo Main Rd, Kilburn Colony, Hinoo, Ranchi, Jharkhand 834002","Kilburn Colony, Hinoo",23.331288,85.316097,ChIJ8168d8vh9DkRwIPpNTjCAZ0,https://www.google.com/maps/place/?q=place_id:ChIJ8168d8vh9DkRwIPpNTjCAZ0,part_379,2026-09-20 20:19:16,1727
Kumar Nursing Home And Maternity Centre .,Nursing Home and Maternity Hospital,Hospital,Hospital,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 99357 65036,N/A,4.4,8.0,"HQ36+CXQ, Lucknow Rd, Jagdishpur Chandhan, Uttar Pradesh 229412",805101,25.553598599999997,81.76248079999999,ChIJ4w12ysbOmjkRtCUsWP4tR5U,https://www.google.com/maps/place/?q=place_id:ChIJ4w12ysbOmjkRtCUsWP4tR5U,part_379,2026-09-20 20:19:16,1728
Indira Maternity & Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 40 6451 6697,N/A,4.5,50.0,"1-9-36/1/B, Opposite E-Seva, Fash Market, Ramnagar to Ramnagar Gundu Rd, Ram Nagar, Bharat Nagar, Hyderabad, Telangana 500044","Ram Nagar, Bharat Nagar",17.407635799999998,78.5086693,ChIJx4c0eZeZyzsR1ibQesodR1I,https://www.google.com/maps/place/?q=place_id:ChIJx4c0eZeZyzsR1ibQesodR1I,part_379,2026-09-20 20:19:16,1729
Jeevan Rekha diagnostic IVF & Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 73678 54400,N/A,2.3,162.0,"Mir Abu Saleh Road, Murarpur, Gaya, Bihar 823001",Murarpur,24.8020973,85.0098624,ChIJ4Sxl7xYq8zkRUJd-zdIjyy8,https://www.google.com/maps/place/?q=place_id:ChIJ4Sxl7xYq8zkRUJd-zdIjyy8,part_379,2026-09-20 20:19:16,1730
