business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shiksha Edu-Care Consultancy,Educational Consultant,Educational consultant,Educational consultant,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93664 94584,N/A,4.9,54.0,"BK Rd, opp. of Honda Showroom, near rajdhani hotel, Indranagar, Agartala, Tripura 799001",Indranagar,23.8408342,91.2825805,ChIJM4UYBrT1UzcRRd9HJBvX1VA,https://www.google.com/maps/place/?q=place_id:ChIJM4UYBrT1UzcRRd9HJBvX1VA,part_375,2026-09-20 20:19:33,3677
GROW Education Consultancy,Educational Consultant,Educational consultant,Educational consultant,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 82481 84934,http://grow-education-consultancy.mailchimpsites.com/,4.8,38.0,"Madhya, Jail Ashram Rd, near lalbahadur club, Banamalipur, Agartala, Tripura 799001","Banamalipur, Indranagar",23.8360366,91.2884079,ChIJed9AB5X1UzcRk9nQ0ndbdqw,https://www.google.com/maps/place/?q=place_id:ChIJed9AB5X1UzcRk9nQ0ndbdqw,part_375,2026-09-20 20:19:33,3678
Edu World tripura,Educational Consultant,Educational consultant,Educational consultant,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70010 14967,http://www.eduworldtripura.com/,4.9,27.0,"Colonel Chowmuhani, near Navagraha Mandir, Banerjee Para, Krishna Nagar, Agartala, Tripura 799001","Banerjee Para, Krishna Nagar",23.8372182,91.27862019999999,ChIJ2ZdEuob1UzcR_6LH8jGYySI,https://www.google.com/maps/place/?q=place_id:ChIJ2ZdEuob1UzcR_6LH8jGYySI,part_375,2026-09-20 20:19:33,3679
Beyond Ambition,Educational Consultant,Educational consultant,Educational consultant,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 88603 47545,http://www.beyondambition.in/,4.9,259.0,"pulin debbarma sarani, Krishnanagar, Agartala, Tripura 799001","Banerjee Para, Krishna Nagar",23.8354772,91.2772858,ChIJb4X_AB_1UzcR1H-5uYKpZ3M,https://www.google.com/maps/place/?q=place_id:ChIJb4X_AB_1UzcR1H-5uYKpZ3M,part_375,2026-09-20 20:19:33,3680
JOY HIND EDUCATIONAL CAREER CENTRE,Educational Consultant,Educational consultant,Educational consultant,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70057 13477,https://www.facebook.com/profile.php?id=100069803403974&mibextid=LQQJ4d,5.0,2.0,"Southern side of, Kailashahar Police Station Rd, opposite side of Radhakishor institutions, Kailashahar, Tripura 799277",799281,24.3231689,91.9979558,ChIJ6xOFg52RUTcRjmEmv5xMGD4,https://www.google.com/maps/place/?q=place_id:ChIJ6xOFg52RUTcRjmEmv5xMGD4,part_375,2026-09-20 20:19:33,3681
Unique Career Solution®,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Consultant, Distance Learning Center, Student career counseling office",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70051 27202,https://uniquecareersolution.com/,4.9,118.0,"Pragati Rd, near Meher Kalibari, opposite to Prince Video, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.8421003,91.27778909999999,ChIJobilTQX0UzcRdCZ5GggUKr4,https://www.google.com/maps/place/?q=place_id:ChIJobilTQX0UzcRdCZ5GggUKr4,part_375,2026-09-20 20:19:33,3682
Study Next,Educational Consultant,Educational consultant,Educational consultant,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70030 34969,http://www.studynext.org/,4.9,63.0,"108, Krishna Mandir Road, Old Motorstand, Agartala, Tripura 799001",Old Motorstand,23.8317962,91.28529239999999,ChIJhQEbayiZYYwR0ECYkAlhwos,https://www.google.com/maps/place/?q=place_id:ChIJhQEbayiZYYwR0ECYkAlhwos,part_375,2026-09-20 20:19:33,3683
Markline Consultancy,Educational Consultant,Educational consultant,"Educational consultant, Counselor, Educational supply store",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 90772 21355,N/A,4.9,18.0,"2nd Floor, L.N. Bari Road, Green Valley Xerox, West, Indranagar, Agartala, Tripura 799001",Indranagar,23.834032,91.2843803,ChIJ52wQMHP0UzcRKcC8koTwOVY,https://www.google.com/maps/place/?q=place_id:ChIJ52wQMHP0UzcRKcC8koTwOVY,part_375,2026-09-20 20:19:33,3684
Look Students Consultancy Agartala,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, College, Computer training school, Distance Learning Center, Education center, Educational institution, Private university, Test preparation center, University",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 75959 55287,https://lookstudents.in/,5.0,163.0,"P.K.P Sarani Near Motor Stand Sanitala, West, Agartala, Tripura 799001","Shiv Nagar, West, Indranagar",23.8316989,91.28831579999999,ChIJTReAa8z1UzcRgoqmmqHv0d8,https://www.google.com/maps/place/?q=place_id:ChIJTReAa8z1UzcRgoqmmqHv0d8,part_375,2026-09-20 20:19:33,3685
CareerConsult,Educational Consultant,Consultant,"Consultant, Career guidance service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 82570 09900,https://www.careerconsult.in/,3.5,16.0,"Rimpon Bldg, 3rd Floor, Shing Para, 43,HGB Road, Head Post Office Chowmohoni, opp. Sarkar Nursing Home, Agartala, Tripura 799001",Dhaleswar,23.829717499999997,91.27756819999999,ChIJBYToyWz0UzcRbcVtV_KN_bY,https://www.google.com/maps/place/?q=place_id:ChIJBYToyWz0UzcRbcVtV_KN_bY,part_375,2026-09-20 20:19:33,3686
