business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
HARI OM TRANSPORT AGENCY,Logistics and Transport Services,Transportation service,Transportation service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 98358 92439,N/A,3.9,18.0,"Nh 31, Bypass Road, near Mangla Asthan, Devisarai, Bihar Sharif, Bihar 803216",Devisarai,25.1930682,85.5053959,ChIJvRsjEULz8jkRRNUYBZmAGLU,https://www.google.com/maps/place/?q=place_id:ChIJvRsjEULz8jkRRNUYBZmAGLU,part_378,2026-09-20 20:19:22,2179
Sharda Transport,Logistics and Transport Services,Transportation service,Transportation service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.0,13.0,"5GXM+867, Sakunat Kala, Bihar Sharif, Bihar 803101",Sakunat Kala,25.1982754,85.5330595,ChIJ10pCLqn18jkR3mxO57rctn0,https://www.google.com/maps/place/?q=place_id:ChIJ10pCLqn18jkR3mxO57rctn0,part_378,2026-09-20 20:19:22,2180
DTDC Bihar sharif,Logistics and Transport Services,Courier service,Courier service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 98350 03640,N/A,4.4,230.0,"DTDC Courier , Prabhu Market, Alamganj, Bihar Sharif, Bihar 803101",Alamganj,25.1965756,85.52317939999999,ChIJEZmoT-z18jkRDVkkvRCqTOo,https://www.google.com/maps/place/?q=place_id:ChIJEZmoT-z18jkRDVkkvRCqTOo,part_378,2026-09-20 20:19:23,2181
Gaya aurangabad transport services,Logistics and Transport Services,Transportation service,Transportation service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"Gagan diwan, Sherpur, Bihar Sharif, Bihar 803101",Sherpur,25.1870385,85.5156009,ChIJxWJPi77z8jkR3XjQ4d0SG_8,https://www.google.com/maps/place/?q=place_id:ChIJxWJPi77z8jkR3XjQ4d0SG_8,part_378,2026-09-20 20:19:23,2182
Pawan Carrying Corporation,Logistics and Transport Services,Transportation service,Transportation service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 512 260 8917,http://pawancarrying.com/,,,"6G28+46F, Ranchi Rd, near Lehri Thana, Patel Nagar, Murar Adda, Bihar Sharif, Bihar 803101",Patel Nagar,25.200312,85.51556099999999,ChIJObuab1nz8jkRbPu0830n32U,https://www.google.com/maps/place/?q=place_id:ChIJObuab1nz8jkRbPu0830n32U,part_378,2026-09-20 20:19:23,2183
SMG Logistics (Transporter in Patna Bihar),Logistics and Transport Services,Transportation service,Transportation service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 94318 60600,N/A,2.8,,"Narmada Apartment, B15, Exhibition Rd, Patna, Bihar 800001","Old Jakkanpur, Lodipur",25.6098902,85.1414794,ChIJMbTh7x9Z7TkRFZ6GKBeOggs,https://www.google.com/maps/place/?q=place_id:ChIJMbTh7x9Z7TkRFZ6GKBeOggs,part_378,2026-09-20 20:19:23,2184
Bijendra Transport service,Logistics and Transport Services,Transportation service,Transportation service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 98996 68573,https://bijendra-transport.grexa.site/,4.8,,"H5MH+R75 Ashochak, Savitri Gali, near NRL PETROL pump, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800007","East Lakshmi Nagar, Ramkrishan Nagar",25.5846023,85.1781527,ChIJjyjwOltZ7TkRwAs50Ok8XMk,https://www.google.com/maps/place/?q=place_id:ChIJjyjwOltZ7TkRwAs50Ok8XMk,part_378,2026-09-20 20:19:23,2185
NALANDA TRANSPORT AGENCY,Logistics and Transport Services,Transportation service,Transportation service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 94734 25371,N/A,4.0,,"Surya Mandir, Bypass Road, Shivganj, Arrah, Bihar 802301",Shivganj,25.5578158,84.6767539,ChIJI1OBk1RfjTkREepQkxxcT4E,https://www.google.com/maps/place/?q=place_id:ChIJI1OBk1RfjTkREepQkxxcT4E,part_378,2026-09-20 20:19:23,2186
The Professional Couriers,Logistics and Transport Services,Courier service,Courier service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,3.5,,"5GW9+65J Maghara Commercial Complex, MG Road, near Idbi Bank, Bharao Par, Baraipar, Professor Colony, Bihar Sharif, Bihar 803101","Bharao Par, Baraipar, Professor Colony",25.195699599999998,85.5180031,ChIJs70FBl_z8jkR4N7QLPZ_1eQ,https://www.google.com/maps/place/?q=place_id:ChIJs70FBl_z8jkR4N7QLPZ_1eQ,part_378,2026-09-20 20:19:23,2187
Weeple Logistics Solution Private Limited,Logistics and Transport Services,Transportation service,"Transportation service, Courier service, Logistics service",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 88788 76676,https://www.weeple.in/,4.1,,"2, behind Punjabi Dhaba, Dewas Naka, Lasudia Mori, Indore, Madhya Pradesh 452010","Dewas Naka, Lasudia Mori",22.780542,75.9042053,ChIJIyAfhS8dYzkRqqcL242e5BM,https://www.google.com/maps/place/?q=place_id:ChIJIyAfhS8dYzkRqqcL242e5BM,part_378,2026-09-20 20:19:23,2188
DTDC Courier Services,Logistics and Transport Services,Courier service,Courier service,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 99717 35383,http://www.dtdc.in/,4.1,,"Madhu Digital Studio, Sudha Sadan market, near Chuharmal mandir, opposite, Pavapuri, Bihar 803115",803116,25.087892399999998,85.5341225,ChIJYYAFNkL38jkRicclD43Mxsw,https://www.google.com/maps/place/?q=place_id:ChIJYYAFNkL38jkRicclD43Mxsw,part_378,2026-09-20 20:19:23,2189
