business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Nirmal health care (Dr. Rajeev Ranjan Kumar),Healthcare Clinic Chains,Hospital,Hospital,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 82351 34111,N/A,4.6,,"Patel Nagar, Bihar Sharif, Bihar 803101",Patel Nagar,25.2002794,85.51586929999999,ChIJTYiQDMLz8jkRG09TueDPpZY,https://www.google.com/maps/place/?q=place_id:ChIJTYiQDMLz8jkRG09TueDPpZY,part_378,2026-09-20 20:19:20,1779
Divya Jyoti Hospital A Multispeciality Hospital,Healthcare Clinic Chains,Hospital,Hospital,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 95608 34452,https://divyajyotihospital.in.net/,4.0,,"north of chowk, Bhaisasur chowk, Kaghzi Mohalla, Bhaisasur, Bihar Sharif, Bihar 803101",Bhaisasur,25.206823099999998,85.5201064,ChIJMSZlhnH18jkRFQzu5kM6pAY,https://www.google.com/maps/place/?q=place_id:ChIJMSZlhnH18jkRFQzu5kM6pAY,part_378,2026-09-20 20:19:20,1780
Nalanda health care (Dr. Lakshman kumar) physician,Healthcare Clinic Chains,Men's health physician,Men's health physician,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,3.7,35.0,"6G4F+64X, Durgasthan, Bihar Sharif, Bihar 803101",Durgasthan,25.2056231,85.5228906,ChIJB61Fipn18jkRRp7Rm87AtTg,https://www.google.com/maps/place/?q=place_id:ChIJB61Fipn18jkRRp7Rm87AtTg,part_378,2026-09-20 20:19:20,1781
Nalanda Paramedical College and Hospital,Healthcare Clinic Chains,Hospital,Hospital,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.2,,"NH-10, Ekangar Rd, Maghra, Bihar Sharif, Bihar 803216",Maghra,25.1950734,85.4932583,ChIJ9eekNjzz8jkRMS9ZGN_qlf0,https://www.google.com/maps/place/?q=place_id:ChIJ9eekNjzz8jkRMS9ZGN_qlf0,part_378,2026-09-20 20:19:20,1782
HEALTH CARE CLINIC,Healthcare Clinic Chains,Medical clinic,Medical clinic,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 88848 71226,N/A,5.0,,"Thirumalashettyhally, Samethanahalli, Karnataka 560117",Thirumalashettyhally,12.979804399999999,77.7917128,ChIJra9Wj4AOrjsRyyDcugRNviE,https://www.google.com/maps/place/?q=place_id:ChIJra9Wj4AOrjsRyyDcugRNviE,part_378,2026-09-20 20:19:21,1783
Rapid House,Healthcare Clinic Chains,Laboratory equipment supplier,"Laboratory equipment supplier, Diagnostic center, Equipment supplier, Surgical supply store",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 99551 33313,http://www.rapidhouse.in/,4.7,,"Near Kartar Coaching Omkar Palace, Makhania Kuan, Patna, Bihar 800004","Makhania Kuan, Lalbagh",25.617357199999997,85.1609727,ChIJoSYCnu9Y7TkRuXLECweYBYA,https://www.google.com/maps/place/?q=place_id:ChIJoSYCnu9Y7TkRuXLECweYBYA,part_378,2026-09-20 20:19:21,1784
Gita Discounted Pharma,Healthcare Clinic Chains,Fertility clinic,"Fertility clinic, Fertility physician, Maternity Centre, Pharmacy",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 95466 61920,http://www.ivfmedicine.in/,5.0,116.0,"Gita Discounted Pharma, 458A, Govind Mitra Rd, Sabzibagh, Dujra Diara, Patna, Bihar 800004","Sabzibagh, Dujra Diara",25.618898299999998,85.159342,ChIJA0fj6vZY7TkRP3O5lXxLFmM,https://www.google.com/maps/place/?q=place_id:ChIJA0fj6vZY7TkRP3O5lXxLFmM,part_378,2026-09-20 20:19:21,1785
Namdhari Health Care & Systems- Best Surgical Instrument & Medical Eduipment Dealers in Dhanbad,Healthcare Clinic Chains,Surgical supply store,Surgical supply store,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 94311 23278,http://www.namdharihealthcare.com/,5.0,,"Nursing Home (P) Ltd, Katras Rd, near Bada Gurudwara, Matkuria Asmashan Ghat, Dhanbad, Jharkhand 826007",Matkuria Asmashan Ghat,23.789345299999997,86.4158892,ChIJDYNPr8mj9jkRLLqcE73Frxc,https://www.google.com/maps/place/?q=place_id:ChIJDYNPr8mj9jkRLLqcE73Frxc,part_378,2026-09-20 20:19:21,1786
SHREE GAURI PHARMA,Healthcare Clinic Chains,Pharmaceutical Products Wholesaler,"Pharmaceutical Products Wholesaler, Medical equipment supplier, Pharmacy, Surgical Products Wholesaler",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"Ganga Market, Boring Rd, behind A.N.College, South Shivpuri, Shivpuri, Rajbansi Nagar, Patna, Bihar 800023","South Shivpuri, Shivpuri, Rajbansi Nagar",25.6156296,85.1096329,ChIJB5TVMHJZ7TkRPuHzMzn7VJU,https://www.google.com/maps/place/?q=place_id:ChIJB5TVMHJZ7TkRPuHzMzn7VJU,part_378,2026-09-20 20:19:21,1787
Aarogya Pharma,Healthcare Clinic Chains,Wholesaler,"Wholesaler, Medical Center, Pharmacy",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 91021 28031,https://stockist.aarogyapharma.com/,5.0,,"Bihari Saw Lane, Govind Mitra Rd, Langar Toli, Sabzibagh, Dujra Diara, Patna, Bihar 800004","Langar Toli, Sabzibagh, Dujra Diara",25.6181876,85.1586861,ChIJkbr3IVlZ7TkRTsZVrdB8XIc,https://www.google.com/maps/place/?q=place_id:ChIJkbr3IVlZ7TkRTsZVrdB8XIc,part_378,2026-09-20 20:19:21,1788
KUMAR MEDICO,Healthcare Clinic Chains,Hospital,"Hospital, Medical group",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 70046 80232,N/A,5.0,,"OPPOSITE, Gonawan Rd, Harnaut, Bihar 803110",803116,25.3674426,85.53073599999999,ChIJmdJnsoaJ8jkRPHBNraT-694,https://www.google.com/maps/place/?q=place_id:ChIJmdJnsoaJ8jkRPHBNraT-694,part_378,2026-09-20 20:19:21,1789
Kaushlya Nasha Mukti Kendra Patna - Nasha Mukti Kendra patna,Healthcare Clinic Chains,Rehabilitation center,"Rehabilitation center, Addiction treatment center, Alcoholism treatment program, Mental Hospital, Mental health service, Psychiatrist, Psychologist",803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 78708 93901,https://kaushlyarehabs.in/,4.8,257.0,"Mahavir Nagar, 70 Feet BPCL Rd, near canara bank, opp. Himalaya hospital, Adarsh Nagar, Dasratha, Anisabad, Patna, Bihar 800002","Adarsh Nagar, Dasratha, Anisabad",25.580977599999997,85.1171018,ChIJk8FOGo-n8jkREW7S-XdGn9o,https://www.google.com/maps/place/?q=place_id:ChIJk8FOGo-n8jkREW7S-XdGn9o,part_378,2026-09-20 20:20:00,5862
S.N. CHOUDHARY HEALTH CARE : Dr SHRAVAN KUMAR MS,Healthcare Clinic Chains,Medical clinic,"Medical clinic, Child health care center, Emergency care physician, Hospital, Doctor, Surgeon",803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 94302 80177,http://www.snchc.in/,5.0,,"Nau Aana Rd, Prem Nagar, Balwa Punarwas, Supaul, Bihar 852131","Prem Nagar, Balwa Punarwas",26.117633599999998,86.5982305,ChIJjW_wRT1D7jkReJAmjUnv3aQ,https://www.google.com/maps/place/?q=place_id:ChIJjW_wRT1D7jkReJAmjUnv3aQ,part_378,2026-09-20 20:20:00,5863
Aark Pharmaceuticals - Top Pharmaceutical Products Distributor,Healthcare Clinic Chains,Pharmaceutical Products Wholesaler,Pharmaceutical Products Wholesaler,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 99991 56233,https://www.aarkpharma.com/,5.0,,"1st Floor, Ward 43, X-ray Institute, Patliputra Path, Rajendra Nagar, Patna, Bihar 800016",Rajendra Nagar,25.606180799999997,85.16176689999999,ChIJ8YaeGfxZ7TkRsifLjpGPEg8,https://www.google.com/maps/place/?q=place_id:ChIJ8YaeGfxZ7TkRsifLjpGPEg8,part_378,2026-09-20 20:20:00,5864
NOVA CURE,Healthcare Clinic Chains,Pharmacy,"Pharmacy, Medical equipment supplier",803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 93864 13231,N/A,4.5,,"Lochan Enclave, near Shri Sai Hospital, Housing Board Colony, Kankarbagh, Patna, Bihar 800020","Housing Board Colony, Kankarbagh",25.599368499999997,85.1560733,ChIJxReXSKdZ7TkRqu0hSGtgA9g,https://www.google.com/maps/place/?q=place_id:ChIJxReXSKdZ7TkRqu0hSGtgA9g,part_378,2026-09-20 20:20:00,5865
CHC Islampur,Healthcare Clinic Chains,Hospital,Hospital,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,5.0,4.0,"45PP+PPM, SH 4, Shiv Nagar, Bihar 801303",803119,25.1368396,85.1867863,ChIJv2bnGwDH8jkR740mDN-WZ8Y,https://www.google.com/maps/place/?q=place_id:ChIJv2bnGwDH8jkR740mDN-WZ8Y,part_378,2026-09-20 20:21:17,9689
Primary Health Care,Healthcare Clinic Chains,Government hospital,Government hospital,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,4.0,2.0,"5GXF+C88, Durgasthan, Bihar Sharif, Bihar 803101",Durgasthan,25.198528399999997,85.5233221,ChIJ0X5Hzab08jkRYdx2iryGyxA,https://www.google.com/maps/place/?q=place_id:ChIJ0X5Hzab08jkRYdx2iryGyxA,part_378,2026-09-20 20:21:17,9690
"Community Health Center, Giriyak",Healthcare Clinic Chains,Hospital,Hospital,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",N/A,N/A,4.5,,"2GHH+6PX, Giriak, Bihar 803109",803120,25.0281241,85.5293672,ChIJDd4P2BD38jkRJ3ikBSshukA,https://www.google.com/maps/place/?q=place_id:ChIJDd4P2BD38jkRJ3ikBSshukA,part_378,2026-09-20 20:21:56,11006
Life Care Clinic,Healthcare Clinic Chains,Medical clinic,Medical clinic,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",N/A,N/A,5.0,1.0,"Balewadi, Pune, Maharashtra 411045",Balewadi,18.578754699999998,73.7734952,ChIJj0T6lze5wjsR7ScAwT47DEU,https://www.google.com/maps/place/?q=place_id:ChIJj0T6lze5wjsR7ScAwT47DEU,part_378,2026-09-20 20:21:57,11007
GLOBAL HEALTH CARE CLINIC,Healthcare Clinic Chains,Medical clinic,Medical clinic,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 90500 56292,N/A,5.0,1.0,Haryana 122105,803120,28.2213881,76.850422,ChIJTXFGDSA4DTkRmFpwyMgI6Vk,https://www.google.com/maps/place/?q=place_id:ChIJTXFGDSA4DTkRmFpwyMgI6Vk,part_378,2026-09-20 20:21:57,11008
KESAR VACCINE DISTRIBUTORS,Healthcare Clinic Chains,Medical supply store,Medical supply store,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 94310 15585,http://kesarvaccine.com/,4.3,,"Govind Mitra Rd, opp. UDAY PALACE, Langar Toli, Sabzibagh, Dujra Diara, Patna, Bihar 800004","Langar Toli, Sabzibagh, Dujra Diara",25.617357499999997,85.1591421,ChIJ_____-5Y7TkRqzljvbvwWsE,https://www.google.com/maps/place/?q=place_id:ChIJ_____-5Y7TkRqzljvbvwWsE,part_378,2026-09-20 20:21:57,11009
